query_id		Q0		doc_id		rank		BM25_score		system_name
26		Q0		CACM1168		1		571.293470336		kasi
26		Q0		CACM2376		2		557.734909742		kasi
26		Q0		CACM3089		3		508.724190157		kasi
26		Q0		CACM2618		4		480.316515152		kasi
26		Q0		CACM1391		5		471.017894123		kasi
26		Q0		CACM1657		6		434.794335377		kasi
26		Q0		CACM1071		7		426.168570248		kasi
26		Q0		CACM1108		8		408.504667948		kasi
26		Q0		CACM1010		9		396.988590897		kasi
26		Q0		CACM2482		10		387.215034004		kasi
26		Q0		CACM1462		11		366.024905397		kasi
26		Q0		CACM3128		12		363.102566937		kasi
26		Q0		CACM1591		13		362.22313788		kasi
26		Q0		CACM1304		14		344.408657274		kasi
26		Q0		CACM1749		15		338.206832708		kasi
26		Q0		CACM2878		16		337.784708032		kasi
26		Q0		CACM2869		17		337.53624165		kasi
26		Q0		CACM2247		18		336.233625881		kasi
26		Q0		CACM2984		19		336.1141473		kasi
26		Q0		CACM2955		20		334.130394723		kasi
26		Q0		CACM2342		21		333.568048473		kasi
26		Q0		CACM1033		22		333.286947884		kasi
26		Q0		CACM2379		23		333.121928676		kasi
26		Q0		CACM2629		24		331.582343354		kasi
26		Q0		CACM1519		25		329.136918365		kasi
26		Q0		CACM2319		26		328.623334281		kasi
26		Q0		CACM0202		27		328.618389614		kasi
26		Q0		CACM2371		28		328.578386397		kasi
26		Q0		CACM1719		29		328.330449572		kasi
26		Q0		CACM2948		30		326.733307675		kasi
26		Q0		CACM2560		31		326.673954538		kasi
26		Q0		CACM2542		32		326.126012596		kasi
26		Q0		CACM1544		33		323.974985414		kasi
26		Q0		CACM2470		34		323.093609928		kasi
26		Q0		CACM2439		35		322.831887335		kasi
26		Q0		CACM1034		36		321.805926645		kasi
26		Q0		CACM3012		37		321.696342288		kasi
26		Q0		CACM1264		38		321.101464553		kasi
26		Q0		CACM2747		39		318.88032637		kasi
26		Q0		CACM1173		40		318.75493654		kasi
26		Q0		CACM1680		41		317.227418585		kasi
26		Q0		CACM1571		42		316.860313201		kasi
26		Q0		CACM1482		43		314.372765892		kasi
26		Q0		CACM0972		44		314.031524284		kasi
26		Q0		CACM1523		45		312.833622155		kasi
26		Q0		CACM1938		46		311.886697382		kasi
26		Q0		CACM1542		47		311.412816599		kasi
26		Q0		CACM1533		48		310.562249213		kasi
26		Q0		CACM1885		49		309.797308149		kasi
26		Q0		CACM3048		50		309.342376658		kasi
26		Q0		CACM1937		51		307.327809638		kasi
26		Q0		CACM2188		52		307.232050957		kasi
26		Q0		CACM1505		53		306.647374605		kasi
26		Q0		CACM2311		54		306.447867325		kasi
26		Q0		CACM1534		55		306.403017227		kasi
26		Q0		CACM1845		56		306.401713734		kasi
26		Q0		CACM2681		57		304.808512167		kasi
26		Q0		CACM2105		58		304.684751739		kasi
26		Q0		CACM1827		59		304.158266908		kasi
26		Q0		CACM1518		60		303.984626891		kasi
26		Q0		CACM1238		61		303.64010124		kasi
26		Q0		CACM2740		62		303.139787631		kasi
26		Q0		CACM2344		63		301.435793816		kasi
26		Q0		CACM1844		64		300.274839345		kasi
26		Q0		CACM2841		65		300.0012609		kasi
26		Q0		CACM3023		66		299.915228288		kasi
26		Q0		CACM0617		67		299.115745706		kasi
26		Q0		CACM2153		68		299.016813945		kasi
26		Q0		CACM3137		69		298.970278792		kasi
26		Q0		CACM3087		70		298.488103895		kasi
26		Q0		CACM1393		71		298.109595967		kasi
26		Q0		CACM2380		72		297.683067741		kasi
26		Q0		CACM2087		73		296.391770969		kasi
26		Q0		CACM2868		74		296.086496936		kasi
26		Q0		CACM2526		75		295.378869916		kasi
26		Q0		CACM2435		76		295.147451753		kasi
26		Q0		CACM2959		77		294.946440432		kasi
26		Q0		CACM3127		78		294.522190939		kasi
26		Q0		CACM1697		79		294.118868521		kasi
26		Q0		CACM2357		80		293.95287503		kasi
26		Q0		CACM1226		81		292.902983599		kasi
26		Q0		CACM1960		82		292.78989886		kasi
26		Q0		CACM2811		83		292.518789157		kasi
26		Q0		CACM1440		84		291.904776211		kasi
26		Q0		CACM1195		85		290.536069917		kasi
26		Q0		CACM1853		86		290.348054391		kasi
26		Q0		CACM2535		87		289.606069128		kasi
26		Q0		CACM2092		88		289.543548374		kasi
26		Q0		CACM1484		89		289.358142402		kasi
26		Q0		CACM2541		90		288.692032626		kasi
26		Q0		CACM1083		91		287.643669235		kasi
26		Q0		CACM1605		92		287.559500796		kasi
26		Q0		CACM1682		93		286.672341046		kasi
26		Q0		CACM3180		94		286.632135941		kasi
26		Q0		CACM3002		95		286.484593255		kasi
26		Q0		CACM2894		96		285.919591324		kasi
26		Q0		CACM1626		97		285.623852366		kasi
26		Q0		CACM2622		98		285.347370003		kasi
26		Q0		CACM0252		99		285.027172374		kasi
26		Q0		CACM0585		100		284.654660329		kasi
